"","Rank","Year","Title","Artist","Lyrics"
"1",1,"1972","The Candy Man","Sammy Davis, Jr. with The Mike Curb Congregation",""
"2",2,"1972","I'll Take You There","The Staple Singers",""
"3",3,"1972","Oh Girl","The Chi-lites",""
"4",4,"1972","Song Sung Blue","Neil Diamond","Clap your hands
Well, life on the farm is kinda laid back
Ain't much an old country boy like me can't hackIt's early to rise, early in the sack
Thank God, I'm a country boy

Well, a simple kinda life never did me no harm
A raisin' me a family and workin' on a farm
My days are all filled with an easy country charm
Thank God, I'm a country boy

Well, I got me a fine wife, I got me old fiddle
When the sun's comin' up, I got cakes on the griddle
Life ain't nothin' but a funny, funny riddle
Thank God, Im a country boy

When the work's all done, and the sun's settin' low
I pull out my fiddle, and I rosin up the bow
The kids are asleep, so I keep it kinda low
And thank God, I'm a country boy

I'd play ""Sally Goodin"" all day if I could
But the Lord and my wife wouldn't take it very good
So I fiddle when I can, work when I should
And thank God, I'm a country boy

Well, I got me a fine wife, I got me old fiddle
When the sun's comin' up, I got cakes on the griddle
Life ain't nothin' but a funny, funny riddle
Thank God, I'm a country boy, whoo hoo!

Well, I wouldn't trade my life for diamonds or jewels
I never was one of them money hungry fools
Rather have my fiddle and my farmin' tools
Thank God, I'm a country boy

Yeah, city folk drivin' in a black limousine
A lotta sad people thinkin' that's a-mighty keen
Son, let me tell ya now exactly what I mean
Thank God, I'm a country boy

Well, I got me a fine wife, I got me old fiddle
When the sun's comin' up, I got cakes on the griddle
Life ain't nothin' but a funny, funny riddle
Thank God, I'm a country boy, yes sir!

Well, my fiddle was my daddy's till the day he died
And he took me by the hand, held me close to his side
Said, ""Live a good life, play the fiddle with pride
And thank God you're a country boy""

Well, my daddy taught me young how to hunt and how to whittle
Taught me how to work and play a tune on the fiddle
Taught me how to love and how to give just a little
And thank God I'm a country boy

Well, I got me a fine wife, I got me old fiddle
When the sun's comin' up, I got cakes on the griddle
Life ain't nothin' but a funny, funny riddle
Whoo! Thank God, I'm a country boy, yeah!

(John Sommers playing the fiddle)
(And he wrote that song)"
"5",5,"1972","Sylvia's Mother","Dr. Hook And The Medicine Show","If there's a cure for this
I don't want it, don't want it
If there's a cure for thisI don't want it, I don't want it

Think about it all the time
Thinkin' only makes me smile
And say ""Hey""

I don't wanna shake it
Love the love you makin'

If there's a cure for this
I don't want it, I don't want it
If there's a remedy
I'll run from it, from it

Think about it all the time
Never let it out of my mind
'Cause I love you

I've got the sweetest hangover
I don't wanna get over
The sweetest hangover

Yeah, I don't wanna get over
(Sweet love)
(Sweet love)

I don't want a cure for this
I don't want a cure for this, ha
I don't want a cure for this
I don't want a cure for this, ha
I don't want a cure for this
I don't want a cure, I don't want a cure for this

I've got the sweetest hangover
The sweetest hangover, yeah
I don't want to get over

I don't want to get, I don't want to get
Over

Woo, I don't need no cure
I don't need no cure
I don't need no cure

Sweet lovin' (Sweet, sweet, sweet, sweet love)
Sweet, sweet love
Sweet, sweet lovin'

(Sweet, sweet, sweet, sweet love)
(Sweet, sweet, sweet, sweet love)
(Sweet, sweet, sweet, sweet love)
Whoo, whoo, whoo yeah (Sweet, sweet, sweet, sweet love)
Whoo, whoo, whoo yeah

Don't want it, don't need it (Sweet, sweet, sweet, sweet love)
Don't want it, don't need it, yeah

Don't call my doctor
Don't call my momma
Don't call my preacher
No, I don't need it
I don't need it (Sweet, sweet, sweet, sweet love)

'Cause, if there's a cure for this, I don't want it
Don't want it (Love to love you, sweet)
(Love to love you, sweet)

Sweet love, I love you
Sweet love, need love
Bad love, sweet love hangover
I don't want no cure
Sweet love, love hangover
Love hangover

I don't want no cure
I don't want no cure
I don't want no cure
Sweet love hangover

If there's a cure for this
I don't want it, ha
I don't want it
No no, I don't want it
If there's a cure for this
I don't need it

(Sweet, sweet, sweet, sweet love)
Get away from here, woo
(Sweet, sweet, sweet, sweet love)
(Sweet, sweet, sweet, sweet love)
(Sweet, sweet, sweet, sweet love)
(Sweet, sweet, sweet, sweet love)
(Sweet, sweet, sweet, sweet love)"
"6",6,"1972","Nice To Be With You","Gallery","One, two, three

I′m your boogie man, that's what I amI′m here to do whatever I can
Be it early morning, late afternoon
Or at midnight, it's never too soon
To want to please you, to want to keep you
To want to do it all, all for you
I want to be your, be your rubber ball
I want to be the one, you love most of all, oh yeah

I'm your boogie man, I′m your boogie man
Turn me on
I′m your boogie man, I'm your boogie man
I do what you want
I′m your boogie man, I'm your boogie man
Turn me on
I′m your boogie man, I'm your boogie man
I do what you want

I′m your boogie man, that's what I am
I'm here to do whatever I can
Be it early morning, late afternoon
Or at midnight, it′s never too soon
To want to take you, to want to hold you
I want to give my all, all to you
And I want you to completely understand
Oh, where I′m at and where I am, oh yeah

I'm your boogie man, I′m your boogie man
Turn me on
I'm your boogie man, I′m your boogie man
I do what you want
I'm your boogie man, I′m your boogie man
Turn me on
I'm your boogie man, I'm your boogie man
I do what you want

I′m your boogie man, that′s what I am
I'm here to do whatever I can
Be it early morning, late afternoon
Or at midnight, it′s never too soon
I want to be with you, I want to be with you
Yeah, we'll be together, you and me
I want to see you, or get near you
I want to love you up from sun down ′til up
Oh yeah, oh yeah

I'm your boogie man, that′s what I am
I'm here to do whatever I can
Be it early morning, late afternoon
Or at midnight, it's never too soon
To want to please you, to want to hold you
To want to do it all, all for you
I want to be your, be your rubber ball
I want to be the one, you love most of all

I′m your boogie man, aha
I′m your boogie man, aha
I'm your boogie man, aha
I′m your boogie man, aha
Woo!"
"7",7,"1972","The First Time Ever I Saw Your Face","Roberta Flack","I got chills, they're multiplying
And I'm losing control
'Cause the power you're supplyingIt's electrifying

You better shape up
'Cause I need a man
And my heart is set on you
You better shape up
You better understand
To my heart I must be true
Nothin' left, nothin' left for me to do

You're the one that I want (you are the one I want)
Ooh, ooh, ooh, honey
The one that I want (you are the one I want)
Ooh, ooh, ooh, honey
The one that I want (you are the one I want)
Ooh, ooh, ooh
The one I need (the one I need)
Oh, yes indeed (yes, indeed)

If you're filled with affection
You're too shy to convey
Meditate in my direction
Feel your way

I better shape up
'Cause you need a man
I need a man
Who can keep me satisfied
I better shape up
If I'm gonna prove
You better prove
That my faith is justified
Are you sure?
Yes, I'm sure down deep inside

You're the one that I want (you are the one I want)
Ooh, ooh, ooh, honey
The one that I want (you are the one I want)
Ooh, ooh, ooh, honey
The one that I want (you are the one I want)
Ooh, ooh, ooh
The one I need (the one I need)
Oh, yes indeed (yes, indeed)

You're the one that I want (you are the one I want)
Ooh, ooh, ooh, honey
The one that I want (you are the one I want)
Ooh, ooh, ooh, honey
The one that I want (you are the one I want)
Ooh ooh, ooh
The one I need (the one I need)
Oh, yes indeed (yes, indeed) ooh, ooh

You're the one that I want (you are the one I want)
Ooh, ooh, ooh, honey
The one that I want (you are the one I want)
Ooh, ooh, ooh, honey
The one that I want (you are the one I want)
Ooh, ooh, ooh
The one I need (the one I need)
Oh, yes indeed (yes, indeed)

You're the one that I want (you are the one I want)
Ooh, ooh, ooh, honey
The one that I want"
"8",8,"1972","Morning Has Broken","Cat Stevens","Baby, I can't figure it out
Your kisses taste like honey
Sweet lies don't give me no riseOh, oh what you're trying to do?

Livin' on your cheatin'
And the pain grows inside me
It's enough to leave me crying in the rain
Love you forever but you're
Driving me insane
And I'm hanging on
Oh

Oh, I'll win, I'll never give in
Our love has got the power
Too many lovers in one lifetime
Ain't good for you
You treat me like a vision in the night
Someone there to stand behind you
When your world ain't working right

I ain't no vision, I am the man
Who loves you inside and out
Backwards and forwards with
My heart hanging out
I love no other way
What am I gonna do if we lose that fire?

Wrap myself up and take me home again
Too many heartaches in one
Lifetime ain't good for me
Figure it's the love that keeps you warm
Let this moment be forever
We won't ever feel the storm

I ain't no vision, I am the man
Who loves you inside and out
Backwards and forwards with
My heart hanging out
I love no other way
What am I gonna do if we lose that fire?

Don't try to tell me it's all over
I can't hear a word I can't hear a line
No man could love you more
And that's what I'm cryin' for
You can't change the way I feel inside

You are the reason for my laughter and my sorrow
Blow out the candle, I will burn again tomorrow
No man on earth can stand
Between my love and I
And no matter how you hurt me
I will love you till I die

I ain't no vision, I am the man
Who loves you inside out
Backwards and forwards with
My heart hanging out
I (I) love (love) no other way
What am I gonna do if we lose that fire?

Loves you inside out
Backwards and forwards with
My heart hanging out
I (I) love (love) no other way
What am I gonna do if we lose that fire?

Loves you inside out
Backwards and forwards with
My heart hanging out
I (I) love (love) no other way
What am I gonna do if we lose that fire?"
"9",9,"1972","Outa-Space","Billy Preston","Gotta make a move to a town that's right for me
Town to keep me movin', keep me groovin' with some energy
Well, I talk about it, talk about it, talk about it, talk about it
Talk about, talk about, talk about movin'

Gotta move on
Gotta move on
Gotta move on

A-won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?

Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?

Gotta make a move to a town that's right for me
Town to keep me movin', keep me groovin' with some energy

Well, I talk about it, talk about it, talk about it, talk about it
Talk about, talk about, talk about movin'

Gotta move on
Gotta move on
Gotta move on

(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?

(Won't you take me down to Funkytown?)
(Won't you take me down...)"
"10",10,"1972","(Last Night) I Didn't Get To Sleep At All","The 5th Dimension","Her hair is Harlow gold
Her lips, a sweet surprise
Her hands are never coldShe got Bette Davis eyes

She'll turn the music on you
You won't have to think twice
She's pure as New York snow
She got Bette Davis eyes

And she'll tease you
She'll unease you
All the better just to please you
She's precocious
And she knows just what it takes to make a pro blush
She got Greta Garbo stand-off sighs
She's got Bette Davis eyes

She'll let you take her home
It whets her appetite
She'll lay you on a throne
She got Bette Davis eyes

She'll take a tumble on you
Roll you like you were dice
Until you come up blue
She's got Bette Davis eyes

She'll expose you
When she snows you
Off your feet with the crumbs she throws you
She's ferocious
And she knows just what it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

She'll tease you
She'll unease you
All the better just to please you
She's precocious
And she knows just what it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

She'll tease you
She'll unease you
Just to please you
She's got Bette Davis eyes
She'll expose you
When she snows you
'Cause she knows you
She's got Bette Davis eyes"
"11",11,"1972","Tumbling Dice","The Rolling Stones",""
"12",12,"1972","It's Going To Take Some Time","Carpenters","First when there's nothing
But a slow glowing dream
That your fear seems to hideDeep inside your mind
All alone I have cried
Silent tears full of pride
In a world made of steel
Made of stone

Well, I hear the music
Close my eyes
Feel the rhythm
Wrap around
Take a hold of my heart

What a feeling
Being's believing
I can have it all
Now I'm dancing for my life

Take your passion
And make it happen
Pictures come alive
You can dance right through your life

Now I hear the music
Close my eyes
I am rhythm
In a flash
It takes hold of my heart

What a feeling
Being's believing
I can have it all
Now I'm dancing for my life
Take your passion
And make it happen
Pictures come alive
You can dance right through your life

What a feeling

What a feeling (I am music now)
Being's believing (I am rhythm now)
Pictures come alive
You can dance right through your life

What a feeling (I can really have it all)
What a feeling (Pictures come alive when I call)
I can have it all (I can really have it all)
Have it all (Pictures come alive when I call)

(Call, call, call, call, what a feeling)
I can have it all (Being's believing)
Being's believing (take your passion)
(Make it happen) Make it happen
(What a feeling) What a feeling
(Being's believing) Heaven
(Take your passion) Heaven"
"13",13,"1972","Troglodyte (Cave Man)","The Jimmy Castor Bunch","Lying in my bed
I hear the clock tick and think of you
Caught up in circlesConfusion is nothing new

Flashback, warm nights
Almost left behind
Suitcase of memories
Time after
Sometimes you picture me
I′m walkin' too far ahead
You′re callin' to me
I can't hear what you′ve said

Then you say, ""go slow""
I fall behind
The second hand unwinds

If you′re lost, you can look and you will find me
Time after time
If you fall, I will catch you, I'll be waiting
Time after time
If you′re lost, you can look and you will find me
Time after time
If you fall, I will catch you, I'll be waiting
Time after time

After my picture fades
And darkness has turned to gray
Watching through windows
You′re wondering if I'm okay

Secrets stolen
From deep inside
The drum beats out of time

If you′re lost, you can look and you will find me
Time after time
If you fall, I will catch you, I'll be waiting
Time after time

You said, ""go slow""
I fall behind
The second hand unwinds

If you're lost, you can look and you will find me
Time after time
If you fall, I will catch you, I′ll be waiting
Time after time
If you′re lost, you can look and you will find me
Time after time
If you fall, I will catch you, I'll be waiting
Time after time

Time after time
Time after time
Time after time
Time after time
Time after time
Time after time
Time after time
Time after time"
"14",14,"1972","Walkin' In The Rain With The One I Love","Love Unlimited","Welcome to your life
There's no turning back
Even while we sleepWe will find you
Acting on your best behaviour
Turn your back on Mother Nature

Everybody wants to rule the world

It's my own design
It's my own remorse
Help me to decide
Help me make the most
Of freedom and of pleasure
Nothing ever lasts forever

Everybody wants to rule the world

There's a room where the light won't find you
Holding hands while the walls come tumbling down
When they do I'll be right behind you
So glad we've almost made it
So sad they had to fade it

Everybody wants to rule the world

All for freedom and for pleasure
Nothing ever lasts forever

Everybody wants to rule the world"
"15",15,"1972","Diary","Bread","I have a tale to tell
Sometimes it gets so hard to hide it well
I was not ready for the fallToo blind to see the writing on the wall

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell the secret I have learned till then it will burn inside of me

I know where beauty lives
I've seen it once
I know the warmth she gives
The light that you could never see
It shines inside you can't take that from me...

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell the secret I have learned till then it will burn inside of me...

The truth is never far behind
You've kept it hidden well
If I live to tell the secret I knew then
Will I ever have the chance again?

If I ran away
I'd never have the strength to go very far
How would they hear the beating of my heart...?
Will it grow cold?
(Will it grow cold?)
The secret that I hide
Will I grow old?
How will they hear?
When will they learn?
How will they know...?

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell the secret I have learned till then it will burn inside of me...

The truth is never far behind
You've kept it hidden well
If I live to tell the secret I knew then
Will I ever have the chance again...?
A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell the secret I have learned till then it will burn inside of me..."
"16",16,"1972","I Saw The Light","Todd Rundgren","Keep me hangin' on

Set me free why don't you, babeGet out my life why don't you, babe
'Cause you don't really love me
You just keep me hangin' on

Set me free why don't you, babe
Get out my life why don't you, babe (ooh-ooh-ooh)
'Cause you don't really need me
But you keep me hangin' on

Why do you keep a comin' around
Playing with my heart
Why don't you get out of my life
And let me make a brand-new start
Let me get over you
The way you've gotten over me, yeah

Set me free why don't you, babe
Get out my life why don't you, baby (ooh-ooh-ooh)
'Cause you don't really love me
You just keep me hangin' on
Now you don't really need me
You just keep me hangin' on

You say although we broke up
You still just wanna be friends
But how can we still be friends
When seeing you only breaks my heart again?
(And there ain't nothing I can do about it)

Yeah

Get out, get out of my life
And let me sleep at night
'Cause you don't really love me
You just keep me (hangin' on) hangin' on

You say you still care for me
But your heart and soul needs to be free
And now that you've got your freedom
You wanna still hold on to me
You don't want me for yourself
So let me find somebody else

Set me free why don't you, babe
Get out my life why don't you, babe (ooh-ooh-ooh)
'Cause you don't really love me
You just keep me hangin' on

Why don't you be a man about it?
And set me free (ooh-ooh-ooh)
Now you don't care a thing about me
You're just using me, hey, abusing me

Get out, get out of my life
And let me sleep at night (ooh-ooh-ooh)
'Cause you don't really love me
You just keep me hangin' on (ooh-ooh-ooh)"
"17",17,"1972","Look What You Done For Me","Al Green","I've had enough of danger
People on the streets
I'm looking out for angelsJust trying to find some peace
I think it's time
That you let me know
So if you love me say you love me
But if you don't just let me go

'Cause teacher
There are things
That I don't want to learn
And the last one I had made me cry
So I don't want to learn to hold you touch you
Think that you're mine
Because it ain't no joy for an uptown boy
Whose teacher has told him goodbye, goodbye, goodbye

When you were just a stranger and I was at your feet
I didn't feel the danger
Now I feel the heat
That look in your eyes telling me ""No""
So you think that you love me
Know that you need me
I wrote the song
I know it's wrong
Just let me go

And teacher
There are things that I don't want to learn
Oh the last one I had made me cry
So I don't want to learn to hold you, touch you
Think that you're mine
Because it ain't no joy for an uptown boy
Whose teacher has told him goodbye goodbye goodbye

So when you say that you need me
That you'll never leave me
I know you're wrong you're not that strong let me go

And teacher
There are things
That I still have to learn
But the one thing I have is my pride
Oh
So I don't want to learn to hold you touch you
Think that you're mine
Because there ain't no joy for an uptown boy
Who just isn't willing to try
I'm so cold inside
Maybe just one more try"
"18",18,"1972","Hot Rod Lincoln","Commander Cody & His Lost Planet Airmen",""
"19",19,"1972","Amazing Grace","The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards","I know there's pain (I know there's pain)
Why do you lock yourself up in these chains? (These chains)
No one can change your life except for youDon't ever let anyone step all over you

Just open your heart and your mind (Mmm)
Is it really fair to feel, this way inside? (Woah)

Some day somebody's gonna make you want to turn around and say goodbye
Until then, baby, are you going to let 'em hold you down and make you cry?
Don't you know? Don't you know, things can change
Things'll go your way
If you Hold On for one more day
Can you Hold On for one more day?
Things'll go your way
Hold On for one more day

You could sustain (You could sustain)
Hm, or are you comfortable with the pain?
You've got no one to blame for your unhappiness (No, baby)
You got yourself into your own mess (Ooh)

Lettin' your worries pass you by (Lettin' your worries pass you by)
Baby, don't you think it's worth your time
To change your mind? (No, no)

Some day somebody's gonna make you want to turn around and say goodbye
Until then, baby, are you going to let 'em hold you down and make you cry?
Don't you know? Don't you know, things can change
Things'll go your way
If you Hold On for one more day
Can you Hold On for one more day?
Things'll go your way (Oh, things'll go your way)
Hold On for one more day

I know that there is pain, but you
Hold On for one more day, and ya
Break free from the chains
Yeah I know that there is pain, but you
Hold On for one more day, and ya
Break free, break from the chains

Some day somebody's gonna make you want to turn around and say goodbye (and say goodbye)
Until then, baby, are you going to let 'em hold you down and make you cry?
Don't you know? Don't you know, things can change (Know)
Things'll go your way
If you Hold On for one more day, yeah
If you Hold On

Don't you know, things could change
Things could go your way
If you Hold On for one more day
Can you Hold On
Can you Hold On

Mmm, can you Hold On, baby

Won't you tell me now
Hold On for one more day, 'cause
It's gonna go your way

Don't you know, things could change
Things could go your way
If you Hold On for one more day, yeah

Can't you change it this time
Make up your mind
Hold On, Hold On
Baby Hold On"
"20",20,"1972","Lean On Me","Bill Withers","Saying ""I love you""
Is not the words I want to hear from you
It's not that I want youNot to say, but if you only knew

How easy
It would be to show me how you feel

More than words
Is all you have to do to make it real
Then you wouldn't have to say
That you love me
'Cause I'd already know

What would you do
If my heart was torn in two
More than words to show you feel
That your love for me is real

What would you say
If I took those words away
Then you couldn't make things new
Just by saying ""I love you""

La di da, da di da, di dai dai da
More than words
La di da, da di da

Now that I've tried to
Talk to you and make you understand
All you have to do is close your eyes
And just reach out your hands

And touch me
Hold me close don't ever let me go

More than words
Is all I ever needed you to show
Then you wouldn't have to say
That you love me
'Cause I'd already know

What would you do
If my heart was torn in two
More than words to show you feel
That your love for me is real

What would you say
If I took those words away
Then you couldn't make things new
Just by saying I love you

La di da, da di da, di dai dai da
More than words
La di da, da di da, di dai dai da
More than words
La di da, da di da, di dai dai da
More than words
La di da, da di da

More than words
More than words"
