"","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1","Sammy-Davis-Jr-with-The-Mike-Curb-Congregation","Paul-McCartney-And-Wings","Paul-McCartney-And-Wings","John-Denver","Diana-Ross","KC-And-The-Sunshine-Band","John-Travolta-Olivia-Newton-John","Bee-Gees","Lipps-Inc","Kim-Carnes","Paul-McCartney-And-Stevie-Wonder","Irene-Cara","Cyndi-Lauper","Tears-For-Fears","Madonna","Kim-Wilde","George-Michael","Bette-Midler","Wilson-Phillips","Extreme","Kris-Kross","Janet-Jackson","All-4-One","Bryan-Adams","Bone-Thugs-N-Harmony","Hanson","Brandy-Monica","Ricky-Martin","Santana-Featuring-The-Product-G-B","Christina-Aguilera-Lil-Kim-Mya-P-nk","Ashanti","50-Cent-Featuring-Nate-Dogg","Usher","Mariah-Carey","Chamillionaire-Featuring-Krayzie-Bone","Rihanna-Featuring-Jay-Z","Lil-Wayne-Featuring-Static-Major","The-Black-Eyed-Peas","Usher-Featuring-will-i-am","Adele","Gotye-Featuring-Kimbra","Macklemore-Ryan-Lewis-Featuring-Ray-Dalton","Iggy-Azalea-Featuring-Charli-XCX","Taylor-Swift-Featuring-Kendrick-Lamar","Drake-Featuring-WizKid-Kyla","Luis-Fonsi-Daddy-Yankee-Featuring-Justin-Bieber","Drake","Lil-Nas-X-Featuring-Billy-Ray-Cyrus","Lady-Gaga-Ariana-Grande","BTS"
"2","The-Staple-Singers","Edgar-Winter-Group","Ray-Stevens","America","Wings","Fleetwood-Mac","Andy-Gibb","Donna-Summer","Paul-McCartney-And-Wings","Smokey-Robinson","Rick-Springfield","David-Bowie","Deniece-Williams","Wham","Patti-LaBelle-Michael-McDonald","Atlantic-Starr","Rick-Astley","New-Kids-On-The-Block","Madonna","Color-Me-Badd","Red-Hot-Chili-Peppers","Silk","Madonna","Montell-Jordan","Mariah-Carey","Mark-Morrison","Next","Jennifer-Lopez","Marc-Anthony","Janet","P-Diddy-Featuring-Usher-Loon","Sean-Paul","Mario-Winans-Featuring-Enya-P-Diddy","Gwen-Stefani","Daniel-Powter","Shop-Boyz","Leona-Lewis","Lady-Gaga","B-o-B-Featuring-Hayley-Williams","Pitbull-Featuring-Ne-Yo-Afrojack-Nayer","Carly-Rae-Jepsen","P-nk-Featuring-Nate-Ruess","Ariana-Grande-Featuring-Iggy-Azalea","Wiz-Khalifa-Featuring-Charlie-Puth","Desiigner","Bruno-Mars","Post-Malone-Featuring-Ty-Dolla-ign","Billie-Eilish","Megan-Thee-Stallion","Olivia-Rodrigo"
"3","The-Chi-lites","Sylvia-r-b","The-Stylistics","Ace","Silver-Convention","Marvin-Gaye","Johnny-Mathis-Deniece-Williams","Sister-Sledge","Ambrosia","Stars-On-45","Charlene","Culture-Club","Steve-Perry","Harold-Faltermeyer","Whitney-Houston","Lisa-Lisa-And-Cult-Jam","Daryl-Hall-John-Oates","Bobby-Brown","Bell-Biv-DeVoe","Paula-Abdul","En-Vogue","H-Town","Janet-Jackson","Nicki-French","Celine-Dion","Spice-Girls","Shania-Twain","TLC","Sisqo","Lifehouse","Fat-Joe-Featuring-Ashanti","Busta-Rhymes-Mariah-Carey-Featuring-The-Flipmode-Squad","Beyonce","Ciara-Featuring-Ludacris","Nelly-Furtado-Featuring-Timbaland","Maroon-5","David-Cook","Jamie-Foxx-Featuring-T-Pain","Katy-Perry-Featuring-Snoop-Dogg","Katy-Perry-Featuring-Kanye-West","Maroon-5-Featuring-Wiz-Khalifa","Justin-Timberlake","John-Legend","Fetty-Wap","Justin-Timberlake","DJ-Khaled-Featuring-Justin-Bieber-Quavo-Chance-The-Rapper-Lil-Wayne","Drake","Khalid","DaBaby-Featuring-Roddy-Ricch","Olivia-Rodrigo"
"4","Neil-Diamond","Elton-John","Jackson-5","Grand-Funk","Dorothy-Moore","Bill-Conti","Chuck-Mangione","Peaches-Herb","Kenny-Rogers-With-Kim-Carnes","A-Taste-Of-Honey","Tommy-Tutone","Men-At-Work","Duran-Duran","Billy-Ocean","Nu-Shooz","Chris-de-Burgh","Johnny-Hates-Jazz","Michael-Damian","Heart","Mariah-Carey","Mariah-Carey","SWV","Warren-G-Nate-Dogg","Boyz-II-Men","Tracy-Chapman","The-Notorious-B-I-G","Mariah-Carey","Maxwell","Faith-Hill","Nelly-Featuring-City-Spud","Eminem","Fabolous-Featuring-Mike-Shorey-Lil-Mo","Usher-Featuring-Lil-Jon-Ludacris","50-Cent","Fort-Minor-Featuring-Holly-Brook","T-Pain-Featuring-Yung-Joc","Rihanna","Glee-Cast","Taio-Cruz-Featuring-Ludacris","Jennifer-Lopez-Featuring-Pitbull","fun-Featuring-Janelle-Monae","Daft-Punk-Featuring-Pharrell-Williams","Pharrell-Williams","WALK-THE-MOON","Fifth-Harmony-Featuring-Ty-Dolla-ign","Kendrick-Lamar","Childish-Gambino","Ed-Sheeran-Justin-Bieber","The-Weeknd","Dua-Lipa-Featuring-DaBaby"
"5","Dr-Hook-And-The-Medicine-Show","Clint-Holmes","Gordon-Lightfoot","Chicago","Pratt-McClain-with-Brother-Love","Foreigner","Gerry-Rafferty","Randy-VanWarmer","Blondie","REO-Speedwagon","Ray-Parker-Jr","Lionel-Richie","Night-Ranger","Bryan-Adams","Mike-The-Mechanics","U2","Samantha-Fox","Neneh-Cherry","Roxette","Michael-Bolton","Sir-Mix-A-Lot","Vanessa-Williams-Brian-McKnight","Ace-Of-Base","Monica","SWV","The-Verve-Pipe","Janet-Featuring-BLACKstreet","Sixpence-None-The-Richer","Enrique-Iglesias","Uncle-Kracker","Nelly","Evanescence-Featuring-Paul-McCoy","Hoobastank","The-Black-Eyed-Peas","Rihanna","Daughtry","Jordin-Sparks-Duet-With-Chris-Brown","Pitbull","B-o-B-Featuring-Bruno-Mars","The-Black-Eyed-Peas","Nicki-Minaj","Florida-Georgia-Line-Featuring-Nelly","DJ-Snake-Lil-Jon","The-Weeknd","The-Chainsmokers-Featuring-Daya","Ed-Sheeran","Zedd-Maren-Morris-Grey","Jonas-Brothers","Doja-Cat-Featuring-Nicki-Minaj","Silk-Sonic-Bruno-Mars-Anderson-Paak"
"6","Gallery","Barry-White","Bo-Donaldson-And-The-Heywoods","Linda-Ronstadt","Henry-Gross","Kenny-Rogers","Bonnie-Tyler","Anita-Ward","Bette-Midler","Gino-Vannelli","The-Human-League","Michael-Jackson","Huey-Lewis-The-News","Howard-Jones","Orchestral-Manoeuvres-In-The-Dark","Genesis","Debbie-Gibson","Guns-N-Roses","Janet-Jackson","R-E-M","Joe-Public","SWV","Ace-Of-Base","Method-Man-Featuring-Mary-J-Blige","The-Tony-Rich-Project","Rome","Backstreet-Boys","702","Aaliyah","Destiny-s-Child","Vanessa-Carlton","R-Kelly","Twista","Kelly-Clarkson","Cassie","Justin-Timberlake","Usher-Featuring-Young-Jeezy","Linkin-Park","Lady-Gaga","Bruno-Mars","Flo-Rida-Featuring-Sia","Selena-Gomez","Katy-Perry-Featuring-Juicy-J","Mark-Ronson-Featuring-Bruno-Mars","Lukas-Graham","Future","Lil-Baby-Drake","Post-Malone-Swae-Lee","Drake","Justin-Bieber-Featuring-Daniel-Caesar-Giveon"
"7","Roberta-Flack","Dawn-Featuring-Tony-Orlando","Joni-Mitchell","Freddy-Fender","John-Sebastian","Andrew-Gold","George-Benson","Supertramp","Bob-Seger","Ray-Parker-Jr-Raydio","Willie-Nelson","Thomas-Dolby","Lionel-Richie","Mary-Jane-Girls","Level-42","Bon-Jovi","The-Jets","Richard-Marx","Linear","Hi-Five","Sophie-B-Hawkins","P-M-Dawn","Big-Mountain","Adina-Howard","Toni-Braxton","Jewel","Xscape","JT-Money-Featuring-Sole","Eminem","R-Kelly-Featuring-Jay-Z","Usher","Justin-Timberlake","Maroon-5","The-Game-Featuring-50-Cent","Sean-Paul","Avril-Lavigne","Ray-J-Yung-Berg","Kid-Cudi","Ke-ha","Britney-Spears-Featuring-Nicki-Minaj-Ke-ha","One-Direction","Icona-Pop-Featuring-Charli-XCX","Jason-Derulo-Featuring-2-Chainz","Jason-Derulo","Mike-Posner","Zedd-Alessia-Cara","Cardi-B-Bad-Bunny-J-Balvin","Post-Malone","Dua-Lipa","The-Weeknd-Ariana-Grande"
"8","Cat-Stevens","Stevie-Wonder","Marvin-Hamlisch-The-Sting","Jessi-Colter","Daryl-Hall-John-Oates","Alan-O-Day","ABBA","Rickie-Lee-Jones","Linda-Ronstadt","Grover-Washington-Jr-With-Bill-Withers","Asia","Naked-Eyes","Irene-Cara","Simple-Minds","The-Jets","Fleetwood-Mac","Michael-Jackson","Donny-Osmond","New-Kids-On-The-Block","EMF","Michael-Jackson","Robin-S","Prince","Blessid-Union-Of-Souls","George-Michael","Changing-Faces","K-Ci-JoJo","Shania-Twain","Vertical-Horizon","Missy-Misdemeanor-Elliott","Jimmy-Eat-World","Lil-Kim-Featuring-50-Cent","Alicia-Keys","Will-Smith","Lil-Jon-Featuring-E-40-Sean-Paul-Of-The-YoungBloodZ","Fergie","Madonna-Featuring-Justin-Timberlake-Timbaland","Beyonce","Miley-Cyrus","Lady-Gaga","The-Wanted","Rihanna-Featuring-Mikky-Ekko","Nico-Vinz","David-Guetta-Featuring-Nicki-Minaj-Bebe-Rexha-Afrojack","Ariana-Grande","The-Chainsmokers-Coldplay","Ella-Mai","Sam-Smith-Normani","Roddy-Ricch","Doja-Cat-Featuring-SZA"
"9","Billy-Preston","Focus","Maria-Muldaur","Major-Harris","Captain-Tennille","Stevie-Wonder","Wings","The-Jacksons","Gary-Numan","Neil-Diamond","Paul-Davis","Styx","Laura-Branigan","Kool-The-Gang","Billy-Ocean","Herb-Alpert","Belinda-Carlisle","Lita-Ford-Duet-With-Ozzy-Osbourne","M-C-Hammer","Whitney-Houston","Celine-Dion","Rod-Stewart","Toni-Braxton","Dionne-Farris","Alanis-Morissette","Tim-McGraw-With-Faith-Hill","Savage-Garden","Sugar-Ray","Britney-Spears","Dido","Truth-Hurts-Featuring-Rakim","50-Cent","Usher","Kelly-Clarkson","Shakira-Featuring-Wyclef-Jean","Kelly-Clarkson","Natasha-Bedingfield","Jeremih","Eminem","LMFAO-Featuring-Lauren-Bennett-GoonRock","Justin-Bieber","Imagine-Dragons","Justin-Timberlake","Maroon-5","Rihanna","Lil-Uzi-Vert","Bebe-Rexha-Florida-Georgia-Line","DaBaby","Justin-Bieber-Featuring-Quavo","Olivia-Rodrigo"
"10","The-5th-Dimension","The-Doobie-Brothers","The-O-Jays","The-Elton-John-Band","The-Rolling-Stones","Climax-Blues-Band","Player","Kenny-Rogers","Elton-John","Franke-The-Knockouts","Toto","Rick-Springfield","The-Pointer-Sisters","Katrina-And-The-Waves","George-Michael","Whitney-Houston","Bruce-Hornsby-The-Range","Jimmy-Harnen-With-Synch","Sinead-O-Connor","Luther-Vandross","TLC","Inner-Circle","Aaliyah","Hootie-The-Blowfish","Metallica","Az-Yet-Featuring-Peter-Cetera","Mya-Sisqo","Blaque","Macy-Gray","Lil-Romeo","Michelle-Branch","3-Doors-Down","Petey-Pablo","The-Killers","The-Fray","Huey","Coldplay","Katy-Perry","Rihanna","DJ-Khaled-Featuring-Drake-Rick-Ross-Lil-Wayne","Phillip-Phillips","Bruno-Mars","Jason-Derulo-Featuring-Snoop-Dogg","T-Wayne","Rihanna-Featuring-Drake","Kygo-x-Selena-Gomez","Ariana-Grande","Ava-Max","Future-Featuring-Drake","Masked-Wolf"
