"","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1","The Candy Man","My Love","Band On The Run","Thank God I'm A Country Boy","Love Hangover","I'm Your Boogie Man","You're The One That I Want","Love You Inside Out","Funkytown","Bette Davis Eyes","Ebony And Ivory","Flashdance...What A Feeling","Time After Time","Everybody Wants To Rule The World","Live To Tell","You Keep Me Hangin' On","One More Try","Wind Beneath My Wings (From ""Beaches"")","Hold On","More Than Words","Jump","That's The Way Love Goes","I Swear","Have You Ever Really Loved A Woman?","Tha Crossroads","MMMBop","The Boy Is Mine","Livin' La Vida Loca","Maria Maria","Lady Marmalade","Foolish","21 Questions","Burn","We Belong Together","Ridin'","Umbrella","Lollipop","Boom Boom Pow","OMG","Rolling In The Deep","Somebody That I Used To Know","Can't Hold Us","Fancy","Bad Blood","One Dance","Despacito","Nice For What","Old Town Road","Rain On Me","Butter"
"2","I'll Take You There","Frankenstein","The Streak","Sister Golden Hair","Silly Love Songs","Dreams","Shadow Dancing","Hot Stuff","Coming Up (Live At Glasgow)","Being With You","Don't Talk To Strangers","Let's Dance","Let's Hear It For The Boy","Everything She Wants","On My Own","Always","Together Forever","I'll Be Loving You (Forever)","Vogue","I Wanna Sex You Up (From ""New Jack City"")","Under The Bridge","Freak Me","I'll Remember (From ""With Honors"")","This Is How We Do It","Always Be My Baby","Return Of The Mack","Too Close","If You Had My Love","You Sang To Me","All For You","I Need A Girl (Part One)","Get Busy","I Don't Wanna Know","Hollaback Girl","Bad Day","Party Like A Rockstar","Bleeding Love","Poker Face","Airplanes","Give Me Everything","Call Me Maybe","Just Give Me A Reason","Problem","See You Again","Panda","That's What I Like","Psycho","Bad Guy","Savage","Good 4 U"
"3","Oh Girl","Pillow Talk","You Make Me Feel Brand New","How Long","Get Up And Boogie (That's Right)","Got To Give It Up (Pt. I)","Too Much, Too Little, Too Late","We Are Family","Biggest Part Of Me","Medley","I've Never Been To Me","Time (Clock Of The Heart)","Oh, Sherrie","Axel F","Greatest Love Of All","Head To Toe","Everything Your Heart Desires","Every Little Step","Poison","Rush Rush","My Lovin' (You're Never Gonna Get It)","Knockin' Da Boots","Any Time, Any Place/And On And On","Total Eclipse Of The Heart","Because You Loved Me (From ""Up Close & Personal"")","Say You'll Be There","You're Still The One","No Scrubs","Thong Song","Hanging By A Moment","What's Luv?","I Know What You Want","Naughty Girl","Oh","Promiscuous","Makes Me Wonder","The Time Of My Life","Blame It","California Gurls","E.T.","Payphone","Mirrors","All Of Me","Trap Queen","Can't Stop The Feeling!","I'm The One","God's Plan","Talk","Rockstar","Deja Vu"
"4","Song Sung Blue","Daniel","Dancing Machine","Bad Time","Misty Blue","Gonna Fly Now","Feels So Good","Reunited","Don't Fall In Love With A Dreamer","Sukiyaki","867-5309/jenny","Overkill","The Reflex","Suddenly","I Can't Wait","The Lady In Red","Shattered Dreams","Rock On (From ""Dream A Little Dream"")","All I Wanna Do Is Make Love To You","I Don't Wanna Cry","I'll Be There","Weak","Regulate (From ""Above The Rim"")","Water Runs Dry","Give Me One Reason","Hypnotize","My All","Fortunate","Breathe","Ride Wit Me","Without Me","Can't Let You Go","Yeah!","Just A Lil Bit","Where'd You Go","Buy U A Drank (Shawty Snappin')","Take A Bow","Don't Stop Believin'","Break Your Heart","On The Floor","We Are Young","Get Lucky","Happy","Shut Up And Dance","Work From Home","Humble.","This Is America","I Don't Care","Blinding Lights","Levitating"
"5","Sylvia's Mother","Playground In My Mind","Sundown","Old Days","Happy Days","Feels Like The First Time","Baker Street","Just When I Needed You Most","Call Me","Take It On The Run","The Other Woman","My Love","Sister Christian","Heaven","All I Need Is A Miracle","With or Without You","Naughty Girls (Need Love Too)","Buffalo Stance","It Must Have Been Love (From ""Pretty Woman"")","Love Is A Wonderful Thing","Baby Got Back","Love Is (From ""Beverly Hills, 90210"")","The Sign","Don't Take It Personal (Just One Of Dem Days)","You're The One","The Freshmen","I Get Lonely","Kiss Me","Be With You","Follow Me","Hot In Herre","Bring Me To Life","The Reason","Don't Phunk With My Heart","SOS","Home","No Air","I Know You Want Me (Calle Ocho)","Nothin' On You","Just Can't Get Enough","Starships","Cruise","Turn Down For What","Earned It (Fifty Shades Of Grey)","Don't Let Me Down","Shape Of You","The Middle","Sucker","Say So","Leave The Door Open"
"6","Nice To Be With You","I'm Gonna Love You Just A Little More Baby","Billy, Don't Be A Hero","When Will I Be Loved","Shannon","Lucille","It's A Heartache","Ring My Bell","The Rose","Living Inside Myself","Don't You Want Me","Beat It","The Heart Of Rock & Roll","Things Can Only Get Better","If You Leave","In Too Deep","Foolish Beat","Patience","Alright","Losing My Religion","Live And Learn","I'm So Into You","Don't Turn Around","I'll Be There For You/You're All I Need To Get By","Nobody Knows","I Belong To You (Every Time I See Your Face)","Everybody [Backstreet's Back]","Where My Girls At?","Try Again","Survivor","A Thousand Miles","Ignition","Overnight Celebrity","Behind These Hazel Eyes","Me & U","Summer Love","Love In This Club","New Divide","Alejandro","The Lazy Song","Wild Ones","Come & Get It","Dark Horse","Uptown Funk!","7 Years","Mask Off","Yes Indeed","Sunflower (Spider-Man: Into The Spider-Verse)","Toosie Slide","Peaches"
"7","The First Time Ever I Saw Your Face","Tie A Yellow Ribbon Round The Ole Oak Tree","Help Me","Before The Next Teardrop Falls","Welcome Back","Lonely Boy","On Broadway","The Logical Song","Against The Wind","A Woman Needs Love (Just Like You Do)","Always On My Mind","She Blinded Me With Science","Hello","In My House","Something About You","Wanted Dead Or Alive","Make It Real","Satisfied","Sending All My Love","I Like The Way (The Kissing Game)","Damn I Wish I Was Your Lover","Looking Through Patient Eyes","Baby I Love Your Way (From ""Reality Bites"")","Freak Like Me","You're Makin' Me High/Let It Flow","Foolish Games/You Were Meant For Me","The Arms Of The One Who Loves You","Who Dat","The Real Slim Shady","Fiesta","U Don't Have To Call","Rock Your Body","This Love","Hate It Or Love It","Temperature","Girlfriend","Sexy Can I","Day 'N' Nite","Your Love Is My Drug","Till The World Ends","What Makes You Beautiful","I Love It","Talk Dirty","Want To Want Me","I Took A Pill In Ibiza","Stay","I Like It","Wow.","Don't Start Now","Save Your Tears"
"8","Morning Has Broken","You Are The Sunshine Of My Life","The Entertainer","I'm Not Lisa","Sara Smile","Undercover Angel","Take A Chance On Me","Chuck E.'s In Love","Hurt So Bad","Just The Two Of Us","Heat Of The Moment","Always Something There To Remind Me","Breakdance","Don't You (Forget About Me)","Crush On You","Big Love","Dirty Diana","Soldier Of Love","Step By Step","Unbelievable","In The Closet","Show Me Love","The Most Beautiful Girl In The World","I Believe","Fastlove","G.H.E.T.T.O.U.T.","All My Life","That Don't Impress Me Much","Everything You Want","Get Ur Freak On","The Middle","Magic Stick","If I Ain't Got You","Switch","Snap Yo Fingers","Big Girls Don't Cry","4 Minutes","Halo","Can't Be Tamed","The Edge Of Glory","Glad You Came","Stay","Am I Wrong","Hey Mama","Dangerous Woman","Something Just Like This","Boo'd Up","Dancing With A Stranger","The Box","Kiss Me More"
"9","Outa-Space","Hocus Pocus","Midnight At The Oasis","Love Won't Let Me Wait","Shop Around","Sir Duke","With A Little Luck","Shake Your Body (Down To The Ground)","Cars","America","'65 Love Affair","Don't Let It End","Self Control","Fresh","There'll Be Sad Songs (To Make You Cry)","Diamonds","Circle In The Sand","Close My Eyes Forever","U Can't Touch This","Miracle","If You Asked Me To","Have I Told You Lately","You Mean The World To Me","I Know","Ironic","It's Your Love","Truly Madly Deeply","Every Morning","Oops!...I Did It Again","Thank You","Addictive","In Da Club","Confessions Part II","Since U Been Gone","Hips Don't Lie","Never Again","Pocketful Of Sunshine","Birthday Sex","Not Afraid","Party Rock Anthem","Boyfriend","Radioactive","Not A Bad Thing","Sugar","Needed Me","XO TOUR Llif3","Meant To Be","Suge","Intentions","Traitor"
"10","(Last Night) I Didn't Get To Sleep At All","Long Train Runnin'","For The Love Of Money","Philadelphia Freedom","Fool To Cry","Couldn't Get It Right","This Time I'm In It For Love","She Believes In Me","Little Jeannie","Sweetheart","Rosanna","Affair Of The Heart","Jump (for My Love)","Walking On Sunshine","A Different Corner","I Wanna Dance With Somebody (Who Loves Me)","The Valley Road","Where Are You Now?","Nothing Compares 2 U","Power Of Love/Love Power","Ain't 2 Proud 2 Beg","Bad Boys (Theme From ""Cops"")","Back & Forth","Let Her Cry","Until It Sleeps","Hard To Say I'm Sorry","It's All About Me","808","I Try","My Baby","All You Wanted","When I'm Gone","Freek-A-Leek","Mr. Brightside","Over My Head (Cable Car)","Pop, Lock & Drop It","Viva La Vida","Waking Up In Vegas","Rude Boy","I'm On One","Home","When I Was Your Man","Wiggle","Nasty Freestyle","Work","It Ain't Me","No Tears Left To Cry","Sweet But Psycho","Life Is Good","Astronaut In The Ocean"
"11","Tumbling Dice","Right Place Wrong Time","Be Thankful For What You Got","Cut The Cake","Rhiannon (Will You Ever Win)","Angel In Your Arms","Baby Hold On","Deeper Than The Night","It's Still Rock And Roll To Me","All Those Years Ago","Crimson And Clover","Electric Avenue","Borderline","Angel","Be Good To Yourself","Right On Track","Piano In The Dark","Forever Your Girl","Ready Or Not","Strike It Up","Tennessee","Come Undone","Return To Innocence","Red Light Special","Theme From Mission: Impossible (From ""Mission: Impossible"")","I Want You","Sex And Candy","Chante's Got A Man","He Wasn't Man Enough","Peaches & Cream","Blurry","No Letting Go","All Falls Down","Lonely No More","Dani California","Give It To Me","Damaged","No Boundaries","Hey, Soul Sister","I Love You This Big","Where Have You Been","Blurred Lines","Ain't It Fun","Love Me Like You Do","This Is What You Came For","Issues","In My Blood","ME!","Circles","Drivers License"
